@RELATION train_agent_It2.arff
   @ATTRIBUTE food_pos_x NUMERIC
   @ATTRIBUTE food_pos_y NUMERIC
   @ATTRIBUTE snake_pos_x NUMERIC
   @ATTRIBUTE snake_pos_y NUMERIC
   @ATTRIBUTE body_length NUMERIC
   @ATTRIBUTE move_RIGHT {True, False}
   @ATTRIBUTE move_LEFT {True, False}
   @ATTRIBUTE move_UP {True, False}
   @ATTRIBUTE move_DOWN {True, False}
   @ATTRIBUTE current_score NUMERIC
   @ATTRIBUTE current_direction {RIGHT, LEFT, UP, DOWN}
   @ATTRIBUTE distance_to_crash NUMERIC
   @ATTRIBUTE relative_head_apple_x {RIGHT, LEFT, SAME}
   @ATTRIBUTE relative_head_apple_y {UP, DOWN, SAME}
   @ATTRIBUTE next_score NUMERIC
   @ATTRIBUTE expected_direction {0, 1, 2, 3}

@data
340, 70, 340, 350, 8, False, True, True, False, 323, RIGHT, 130, SAME, UP, 322, 2
340, 70, 350, 350, 8, False, True, True, False, 322, RIGHT, 120, LEFT, UP, 321, 1
340, 70, 350, 360, 8, False, True, True, True, 321, DOWN, 110, LEFT, UP, 320, 3
340, 70, 340, 360, 8, False, True, False, True, 320, LEFT, 340, SAME, UP, 319, 3
340, 70, 330, 360, 8, False, True, False, True, 319, LEFT, 330, RIGHT, UP, 318, 1
340, 70, 330, 370, 8, False, True, True, True, 318, DOWN, 100, RIGHT, UP, 317, 2
340, 70, 340, 370, 8, False, True, True, False, 317, RIGHT, 130, SAME, UP, 316, 2
340, 70, 350, 370, 8, False, True, True, False, 316, RIGHT, 120, LEFT, UP, 315, 1
340, 70, 350, 380, 8, False, True, True, True, 315, DOWN, 90, LEFT, UP, 314, 3
340, 70, 340, 380, 8, False, True, False, True, 314, LEFT, 340, SAME, UP, 313, 3
340, 70, 330, 380, 8, False, True, False, True, 313, LEFT, 330, RIGHT, UP, 312, 1
340, 70, 330, 390, 8, False, True, True, True, 312, DOWN, 80, RIGHT, UP, 311, 2
340, 70, 340, 390, 8, False, True, True, False, 311, RIGHT, 130, SAME, UP, 310, 2
340, 70, 350, 390, 8, False, True, True, False, 310, RIGHT, 120, LEFT, UP, 309, 1
340, 70, 350, 400, 8, False, True, True, True, 309, DOWN, 70, LEFT, UP, 308, 3
340, 70, 340, 400, 8, False, True, False, True, 308, LEFT, 340, SAME, UP, 307, 3
340, 70, 330, 400, 8, False, True, False, True, 307, LEFT, 330, RIGHT, UP, 306, 1
340, 70, 330, 410, 8, False, True, True, True, 306, DOWN, 60, RIGHT, UP, 305, 2
340, 70, 340, 410, 8, False, True, True, False, 305, RIGHT, 130, SAME, UP, 304, 2
